,Date,Total_Deaths,Longitude,Latitude,Disaster_Subgroup
586,1984,1.0,15.06,37.31,Geophysical
587,1984,1.0,70.28,34.26,Geophysical
589,1984,4.0,71.15,34.07,Geophysical
590,1984,3.0,42.4,40.55,Geophysical
591,1985,6.0,-68.467,-33.053,Geophysical
592,1985,1.0,52.997,28.399,Geophysical
593,1985,180.0,-71.871,-33.135,Geophysical
594,1985,22.0,102.871,25.926,Geophysical
595,1985,5.0,70.896,36.19,Geophysical
597,1985,67.0,75.224,39.431,Geophysical
598,1985,9500.0,-102.533,18.19,Geophysical
599,1985,10.0,136.049,-4.13,Geophysical
601,1985,29.0,69.823,40.301,Geophysical
602,1985,2.0,123.544,7.758,Geophysical
607,1985,30.0,6.791,36.46,Geophysical
608,1986,15.0,-71.57,-13.32,Geophysical
609,1986,15.0,37.806,37.993,Geophysical
611,1986,1.0,46.5,26.0,Geophysical
612,1986,20.0,22.07,37.02,Geophysical
613,1986,1100.0,-89.1,13.4,Geophysical
614,1986,3.0,25.57,43.12,Geophysical
615,1986,1.0,-62.42,-3.58,Geophysical
616,1986,1.0,-77.512,-9.505,Geophysical
618,1986,2.0,43.737,41.431,Geophysical
620,1986,1.0,51.582,29.962,Geophysical
622,1986,1.0,-69.428,10.77,Geophysical
626,1986,6.0,76.374,32.128,Geophysical
627,1987,1.0,147.689,-6.088,Geophysical
628,1987,1.0,176.765,-37.965,Geophysical
629,1987,5000.0,-77.785,0.151,Geophysical
630,1987,2.0,98.866,2.244,Geophysical
631,1987,2.0,48.266,34.076,Geophysical
633,1987,5.0,-69.991,-19.022,Geophysical
635,1987,2.0,-78.05,-0.978,Geophysical
636,1987,8.0,-118.079,34.061,Geophysical
637,1987,125.0,124.155,-8.247,Geophysical
638,1987,2.0,140.214,35.38,Geophysical
639,1987,2.0,-115.852,33.015,Geophysical
641,1987,1.0,1.374,35.964,Geophysical
643,1988,1.0,51.679,29.974,Geophysical
645,1988,5.0,-90.45,13.881,Geophysical
646,1988,2.0,91.57,24.688,Geophysical
649,1988,382.0,86.616,26.755,Geophysical
650,1988,709.0,86.616,26.755,Geophysical
653,1988,939.0,99.611,22.789,Geophysical
654,1988,25000.0,44.185,40.987,Geophysical
655,1988,1.0,160.855,-10.199,Geophysical
657,1989,274.0,68.694,38.465,Geophysical
660,1989,1.0,89.763,21.861,Geophysical
661,1989,3.0,-99.328,16.773,Geophysical
662,1989,8.0,99.195,29.987,Geophysical
663,1989,100.0,50.921,30.167,Geophysical
664,1989,120.0,139.022,-4.511,Geophysical
665,1989,62.0,-121.88,37.036,Geophysical
666,1989,29.0,113.884,39.893,Geophysical
